worker_id,efficiency,skill_0,skill_1,skill_2,skill_3,skill_4,skill_5,skill_6,skill_7,skill_8,skill_9
57,0.985273015173192,0,0,0,1,1,1,0,0,1,0
58,0.9488553227851564,0,0,0,0,1,0,0,1,1,0
59,1.0647490214948339,0,0,0,1,0,0,1,1,0,1
60,1.0694510496306777,0,0,1,1,0,0,0,0,0,0
61,1.0390284533225587,0,0,0,1,0,1,1,0,0,1
62,1.0350031277950922,1,0,0,1,0,1,1,0,0,0
63,0.8387292170366136,0,0,0,0,0,0,0,1,0,0
64,1.1989593855180516,1,0,0,0,0,0,1,0,0,1
65,1.0548923899546716,1,0,1,0,0,0,0,1,1,0
66,0.8940957315323236,1,0,0,0,0,1,0,1,0,0
67,1.164406810965827,0,0,1,0,0,0,0,0,0,0
68,0.8672829702015631,0,0,0,1,0,0,0,0,0,1
69,0.9365080885900551,0,1,1,0,0,0,1,0,1,0
70,1.0136158002555506,1,0,1,0,0,0,0,0,0,0
71,0.9475419135235091,1,1,0,0,0,1,0,0,0,1
72,1.0019828953947876,0,1,0,0,0,0,0,0,0,0
73,0.9872691747882293,0,0,1,0,0,0,0,0,0,0
74,0.9069857221432271,0,0,0,0,0,0,0,0,1,0
75,1.0823846180838943,1,1,0,1,0,1,0,0,0,0
76,0.8428376636167766,0,1,0,0,0,0,0,0,0,0
77,0.8664954355738488,0,0,0,0,0,0,1,1,0,0
78,1.1277684303366782,0,0,0,0,1,0,1,0,0,0
79,1.1005676779357338,0,1,0,0,0,0,0,0,0,0
80,0.9116970263595722,0,0,0,0,0,0,1,0,0,0
81,1.1422742863369082,1,0,0,0,0,0,0,0,1,1
82,1.0960726055061953,1,0,0,0,1,0,1,0,0,0
83,1.1662109648804484,0,0,0,0,1,0,1,0,0,0
84,0.9134153482599497,0,0,0,0,1,0,0,0,0,0
85,0.8672026362737201,0,1,0,1,0,0,0,0,0,1
86,0.8929797536994556,1,0,0,0,1,0,1,0,1,0
87,1.1286308692416758,0,0,0,0,0,1,0,0,0,1
88,1.1410606354191044,0,0,0,0,1,0,0,1,0,0
89,0.8373965320916937,0,1,1,0,0,0,0,1,1,0
90,1.039012104043791,0,0,0,0,0,1,0,0,0,1
91,1.1856183841724448,1,0,0,0,0,0,0,1,1,0
92,1.0864059324667128,0,0,0,0,0,0,0,0,1,0
93,0.823373833953551,1,0,1,1,0,1,0,0,0,0
94,1.0402515101523682,0,0,1,1,0,0,0,0,0,0
95,1.189788461737491,0,0,0,0,0,1,0,1,0,0
96,1.1700808954865591,0,0,1,1,0,1,0,0,0,0
97,1.0450262743523495,1,1,0,0,1,1,0,0,0,0
98,1.1562393218622753,1,0,0,1,1,0,1,0,0,0
99,0.8810393702614706,0,0,1,0,1,0,0,0,0,0
